INDICATIVO;NOMBRE;ALTITUD;C_X;C_Y;NOM_PROV;LONGITUD;LATITUD; Año ;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Media
Insolación total mensual (décimas de hora);;;;;;;;;;;;;;;;;;;;;
1249X;OVIEDO;334;267072;4804067;ASTURIAS;0552272;432112;2022;1710;1708;1352;1887;1816;1435;2420;1620;1913;1475;1359;946;1637
1283U;CABO BUSTO;60;219782;4829877;ASTURIAS;0628122;433409;2022;1746;1594;1571;2042;2193;1682;;1924;2122;1529;1280;1035;
1351;ESTACA DE BARES;90;123019;4858799;A CORUÑA;0741062;434710;2022;1107;1475;1503;1656;1859;1838;2161;1838;1949;1513;1152;848;1575
1387;A CORUÑA;57;60704;4815740;A CORUÑA;0825172;432157;2022;1857;1531;1374;1700;2527;2017;3051;2550;2233;1461;987;874;1847
1387E;A CORUÑA/ALVEDRO;98;64289;4808938;A CORUÑA;0822192;431825;2022;1432;1191;1222;1203;1850;1494;2752;1982;1441;1324;978;770;1470
1400;FISTERRA;230;-13503;4771704;A CORUÑA;0917292;425529;2022;1681;1590;1942;2604;2419;1882;3133;2658;2214;1245;822;813;1917
1428;SANTIAGO DE COMPOSTELA/LAVACOLLA;370;58145;4762610;A CORUÑA;0824382;425317;2022;1717;1407;1374;2029;2258;1713;3273;2867;1854;1172;834;652;1762
1475A;SANTIAGO DE COMPOSTELA OBS. ASTRONOMICO;240;46517;4761820;A CORUÑA;0833062;425227;2022;1538;1407;1452;2315;2464;1877;3428;2936;2197;1272;959;812;1888
1477U;VILAGARCIA DE AROUSA;36;26477;4730591;PONTEVEDRA;0846112;423456;2022;1760;1485;1510;2543;2624;2228;3667;3088;2174;1326;1045;741;2016
1484C;PONTEVEDRA;113;38048;4713754;PONTEVEDRA;0836572;422618;2022;1761;1366;1343;1813;1901;1782;2676;2493;1646;1405;589;708;1624
1495;VIGO/PEINADOR;255;35914;4691612;PONTEVEDRA;0837262;421419;2022;1928;1587;1446;2320;2535;1444;3432;3358;2231;1428;954;773;1953
1505;LUGO/ROZAS;442;137309;4782840;LUGO;0727272;430641;2022;1530;1421;1399;1855;2217;1532;2603;1930;1838;1511;1046;553;1620
1542;PUERTO DE LEITARIEGOS;1530;221679;4765828;ASTURIAS;0624512;425939;2022;1545;1065;725;1766;1550;1268;2650;2391;1584;1222;769;428;1414
1549;PONFERRADA;532;204486;4718674;LEON;0636002;423350;2022;1955;1832;1261;2353;2814;2523;3603;3153;2314;1651;1047;460;2080
1631E;POBRA DE TRIVES,SAN MAMEDE;840;147194;4696358;OURENSE;0716572;422022;2022;1573;1332;1001;1636;2064;1727;2568;2409;1745;1475;808;595;1578
1690A;OURENSE;146;99540;4697347;OURENSE;0751352;421931;2022;1570;1486;1216;2048;2638;2098;3547;3070;;;;590;
1700O;MESIEGO;400;81340;4708787;OURENSE;0805172;422506;2022;1240;1146;922;1893;2256;;3378;3060;1983;1033;587;242;
2030;SORIA;1081;542963;4624924;SORIA;0228592;414630;2022;2428;1968;851;2318;3009;3013;3602;3213;2523;1976;1437;862;2267
